Name,Price,URL
Beretta M92,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=beretta-m92
HK-MP5,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=hk-mp5
AK-47 Custom Built,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ak-47-custom-built
Saiga AK 47 Izhmash,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=saiga-ak-47-izhmash
Glock 41 Gen 4,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-41-gen-4
Remington Rand 1911,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=remington-rand-1911
COLT OFFICER’S MODEL,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=colt-officers-model
STI 2011 DVC L 9mm Black,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=sti-2011-dvc-l-9mm-black
AMT Backup 380auto,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=amt-backup-380auto
GLOCK G40 G4,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-g40-g4
SIG SAUER P365,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=sig-sauer-p365
GLOCK 17 GEN4,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-17-gen4
"Detonics MKVI, Combat",Sale!,http://f6pxr3iqw7iziuc2.onion/?product=detonics-mkvi-combat
"ammo Desert Eagle IMI, Kal.44(100 per box)",$172.00,http://f6pxr3iqw7iziuc2.onion/?product=ammo-desert-eagle-imi-kal-4450-per-box
Browning BPT Target .45 ACP Ammunition 230 Grain FMJ 920 fps,$139.00,http://f6pxr3iqw7iziuc2.onion/?product=45-acp-fmj50-per-box
FLIR First Mate II MS-224b Thermal Night Vision Black (Hunter grade),$750.00,http://f6pxr3iqw7iziuc2.onion/?product=flir-first-mate-ii-ms-224b-thermal-night-vision-black-hunter-grade
Smith & Wesson M&P15 Sport AR-15,$390.00,http://f6pxr3iqw7iziuc2.onion/?product=smith-wesson-mp15-sport-ar-15
FLIR LS32 Thermal Night Vision Black (law enforcement grade),"$1,500.00",http://f6pxr3iqw7iziuc2.onion/?product=flir-ls32-thermal-night-vision-black-law-enforcement-grade
PTR Green GI Special Edition .308 G3,$475.00,http://f6pxr3iqw7iziuc2.onion/?product=ptr-green-gi-special-edition-308-g3
Kriss Vector SDP .45 ACP Special Duty Pistol,"$1,180.00",http://f6pxr3iqw7iziuc2.onion/?product=kriss-vector-sdp-45-acp-special-duty-pistol
Bluegrass Armory Moonshiner Bullpup .308 Winchester,"$1,580.00",http://f6pxr3iqw7iziuc2.onion/?product=bluegrass-armory-moonshiner-bullpup-308-winchester
Mossberg 500 Home Security .410,$290.00,http://f6pxr3iqw7iziuc2.onion/?product=mossberg-500-home-security-410
Century Arms Centurion 39 AK 7.62×39,$680.00,http://f6pxr3iqw7iziuc2.onion/?product=century-arms-centurion-39-ak-7-62x39
FN SCAR 17S 16.25″ 7.62×51,"$1,430.00",http://f6pxr3iqw7iziuc2.onion/?product=fn-scar-17s-16-25-7-62x51
Colt Mustang Pocketlite .380,$460.00,http://f6pxr3iqw7iziuc2.onion/?product=colt-mustang-pocketlite-380
CZ P-07 Duty 9mm,$385.00,http://f6pxr3iqw7iziuc2.onion/?product=cz-p-07-duty-9mm
"Desert Eagle IMI, Kal.44",$950.00,http://f6pxr3iqw7iziuc2.onion/?product=desert-eagle-imi-kal-44
Kel-Tec CP33™,$325.00,http://f6pxr3iqw7iziuc2.onion/?product=kel-tec-cp33
"ammo Walther PPK, Kal.7,65(2×100 per box=200)",$156.00,http://f6pxr3iqw7iziuc2.onion/?product=ammo-walther-ppk-kal-76550-per-box
12 Gauge 00 Buckshot (40 Boxes of 5 = 200 rnds),$156.00,http://f6pxr3iqw7iziuc2.onion/?product=12-gauge-00-buckshot-10-boxes-of-5-50-rnds
IWI Uzi SMG .22 LR Walther,$390.00,http://f6pxr3iqw7iziuc2.onion/?product=iwi-uzi-smg-22-lr-walther
Ak 47 (7.62×39),Sale!,http://f6pxr3iqw7iziuc2.onion/?product=ak-47-7-62x39
Glock G17 Gen5,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-g17-gen5
Glock 19X American Flag,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-19x-american-flag
Glock 43X 9mm,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=glock-43x-9mm
9mm – 115 Grain FMJ – Tula – 1000 Rounds,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=9mm-115-grain-fmj-tula-1000-rounds
308 – 150 Grain FMJ – Tula – 500 Rounds,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=308-150-grain-fmj-tula-500-rounds
5.56 NATO 55 GR FMJ 1000 Round Case,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=5-56-nato-55-gr-fmj-1000-round-case
Springfield Saint,Sale!,http://f6pxr3iqw7iziuc2.onion/?product=springfield-saint
2oz magic mushrooms,USD 190.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1745
5 grams pure uncut colombian coke 90% pure,USD 200.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1737
Oxycodone 15mg (RP) (Back In Stock),USD 33.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=979
Crack Cocaine [85%] ★ 0.5GR ★ Bolivian [HQ],USD 59.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=961
"2020 Future Infused Flower ""Moonrock"" 3.5 Grams",USD 67.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=780
Buy Quality Dank Vapes Cartridges  40 carts,USD 300.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1768
"5G COCAINE ""FLASHBACK TO 80s"" only $378",USD 378.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=614
★ US to US ★ 40G Ketamine Pure S+Isomer 98% pure ★,USD 1.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=613
!!!!!!40 MIX AND MATCH X2s AND V-2090S!!!! QUICK SHIPPING,USD 50.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1528
****100 PERFECT X2 Xanax bars*******,USD 90.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1519
"100% FREE BONUS!! Pay for 1000, get 2000 Pfizer Xanax 2mg from Canada",USD 700.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=712
28GRAMS OF PURE CRYSTAL METH (ICE) WITH FREE SHIPPING FOR $700,USD 700.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=616
Hurricane Prerolls 1.3G Joint Coated in Golden Kief (Made by Dank Vapes),USD 18.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=733
Iranian Heroin Pure [87%] ★ 1GR ★,USD 50.50,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=967
AAA 30%+ TOP SHELF NEW INDOOR! PURPLE COOKIE KUSH (28g)1oz ABSOLUTE AAA GR,USD 179.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1079
Oxycodone 30mg (M) (Back In Stock),USD 52.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=968
"1 GRAM HOUSE WAX $14/PIECE (11 STRAINS) (TAGS: DANK VAPES, HEAVY HITTERS)",USD 20.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=731
Testosterone Enanthate - 300mg/ml*10ml - Carpe Diem Labs,USD 80.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1134
1.0g 85 % High Quality Cocaine Kolumbien & Peru Fishscale,USD 59.78,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1832
1 gr - Uncut Bolivian Cocaine Brick (95% PURITY),USD 109.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1567
5.0g MDMA High Quality,USD 54.34,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1839
Top Quality  Pharmacy Xanax 2mg bars (100),USD 200.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1742
"NEW VENDOR OFFER**!!!!2 X2s, 1 V-2090, 1 PHARMA DAVA S903",USD 10.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1534
100% FREE BONUS!! Pay for 2500 get 5000 Pfizer Xanax 2mg from Canada,USD 1450.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=711
"100% FREE BONUS!! Pay for 1000, get 2000 Dava S903 Green ""Hulks""2mg from Canada",USD 700.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=706
Babylon Edibles 300MG Candy (20 Flavors),USD 35.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=761
Cookie Carts 1G Wax Cartridge,USD 21.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=737
Dutch MDMA Champagne Crystals [90%] ★ 1GR ★,USD 20.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=954
High-Voltage Live Resin Cannabis Wax 1 Gram,USD 45.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=775
KUSHY PUNCH INDICA 100MG THC EDIBLES,USD 25.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=755
2020 NUG RUN CRUMBLE 1 GRAM,USD 38.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=740
Exotic Carts Cartridges 1G (20 Strains),USD 25.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=742
Bolivian Snow [85%] ★ 0.25GR ★ Cocaine [HQ],USD 50.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=955
FUTURE 2020 100MG THC EDIBLE SOUR RINGS,USD 17.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=782
Babylon Edibles 1000MG Candy (20 Flavors),USD 65.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=744
"Incredible Edibles 300MG THC Gummy Bears, Gummy Worms, Swedish Fish",USD 20.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=751
"1 Gram House Cannabis Crumble (TAGS: DANK VAPES, WAX, OIL, SHATTER)",USD 21.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=735
Pineapple Kush 28% THC AA Quality Herb! (1 OZ)! Smoking DEAL ;) !,USD 160.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1077
Crack Cocaine [85%] ★ 3GR ★ Bolivian [HQ],USD 289.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=956
Oxycodone 10mg (M523) (Back In Stock),USD 27.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=974
Galaxy Diamond Sauce 3 Gram Hemp Wrapped Cigar (Best Preroll Available),USD 55.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=785
★ 1x - 50x LSD 200UG ALICE IN WONDERLAND ★ BEST PRICE ★,USD 1.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1136
★ 5G - 75G AMPHETAMINE SPEED 78% PURE HIGH QUALITY ★ BEST PRICE ★,USD 1.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1135
Bolivian Snow [85%] ★ 1GR ★ Cocaine [HQ],USD 88.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=966
Iranian Heroin Pure [87%] ★ 0.25GR ★,USD 20.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=960
Medical cannabis Bio outdoor/natural grow: Lemon Kush (Citral) 5 [g],USD 35.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1317
1.0g MDMA High Quality Molly,USD 10.87,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1837
1.0g 85 % High Quality Cocaine Kolumbien & Peru Fishscale,USD 59.78,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1831
2 gr - Calmbio Indica Indoor Medium (no TRACK),USD 10.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1571
★ 5x - 75x ORANGE OWL XTC PILLS 220MG MDMA HQ ★ BEST PRICE ★,USD 1.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1167
★ 5x - 75x HEISENBERG XTC PILLS 220MG MDMA HQ ★ BEST PRICE ★,USD 1.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1162
Sustanon 300mg/ml ( Testosterone Sustanon ),USD 37.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1119
"100% FREE BONUS!! Pay for 500, get 1000 Pfizer Xanax 2mg from Canada",USD 450.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=714
2.0g Marijuhana Haze aus Spanien oder Amsterdam 16-21% THC,USD 19.57,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1841
5 gr - Godfather OG Indoor Indica Hybrid Weed / Marijuana,USD 50.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1813
10 gr - Jack 47 Indoor Sativa Weed / Marijuana,USD 80.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1812
5 gr - Jack 47 Indoor Sativa Weed / Marijuana,USD 40.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1811
Ecstacy MDMA 100 tabs,USD 220.00,http://elite6c3wh756biv7v2fyhnoitizvl2gmoisq7xgmp2b2c5ryicottyd.onion/offer.php?id=1766
