"Наименование","Цена","Ссылка"
"10g Speed paste - 74%","Price: 25.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/cd6b23e7-06a9-44ce-9348-d40e83b941c0"
"10x Hofmann LSD - 180ug","Price: 32.50 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/20e977bc-7f91-4920-a207-75fe4fa62046"
"1g Ketamine R - 97%","Price: 23.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/42f95eb2-e975-4477-a522-97a1562b4489"
"1g Cocaine Peruvian - 88%","Price: 65.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/98a38a38-7a8f-40c4-9664-8b4a21c7c8b1"
"10g Speed paste - 74%","Price: 25.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/cd6b23e7-06a9-44ce-9348-d40e83b941c0"
"1g Ketamine R - 97%","Price: 23.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/42f95eb2-e975-4477-a522-97a1562b4489"
"5g Amnesia Haze - 23% THC","Price: 50.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/298fe8f6-5091-44eb-a3b3-af71d6e0be26"
"1g Cocaine Peruvian - 88%","Price: 65.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/98a38a38-7a8f-40c4-9664-8b4a21c7c8b1"
"5g MDMA - Champagne - 88%","Price: 25.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/3fd09140-2298-4cd8-99d4-48582ea744f4"
"10x Hofmann LSD - 180ug","Price: 32.50 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/20e977bc-7f91-4920-a207-75fe4fa62046"
"25x Hofmann LSD - 180ug","Price: 75.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/519b6b2f-4c4b-463d-88a7-1ccd4bfdbaca"
"5g Amnesia Haze - 23% THC","Price: 50.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/298fe8f6-5091-44eb-a3b3-af71d6e0be26"
"5g Speed paste - 74%","Price: 15.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/listing/57dd60c5-9850-4e5e-b2d5-0f74de53bd42"
"5g Speed paste - 74%","Price: 15.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/57dd60c5-9850-4e5e-b2d5-0f74de53bd42"
"2g MDMA - Champagne - 88%","Price: 15.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/acf884ba-1f6f-496c-bdd9-fc6035d14ee7"
"5g MDMA - Champagne - 88%","Price: 25.00 EUR","http://heinekiedg3fnlq2a3l3bij3veashlp2i6e7r645io5vcrnizxnwucid.onion/home/warning/dismiss/listing/3fd09140-2298-4cd8-99d4-48582ea744f4"
"7g Organic White Russian","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onioncart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onioncart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"7g Organic White Russian","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"7g Organic White Russian","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"7g Organic Chronic","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onioncart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"3.5g Organic White Russian","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"7g Organic White Russian","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpcart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onioncart.php"
"14g Organic Chronic","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onioncart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpcart.php"
"3.5g Organic Chronic","42 EUR = 0.006 ฿","http://eucannaaasck7uzd.onioncart.php"
"14g Organic White Russian","147.5 EUR = 0.022 ฿","http://eucannaaasck7uzd.onion?cat=100index.phpindex.phpindex.phpcart.php"
"7g Organic White Russian","80 EUR = 0.012 ฿","http://eucannaaasck7uzd.onion?cat=100cart.php"
"10x Vials HASH OIL (7.0g)","฿0.0251","http://drugstom3mhpiaud.onion/l/login.php"
"FULL WEIGHED GRAM COCAINE (1.0g)","฿0.0182","http://drugstom3mhpiaud.onion/l/login.php"
"Full Gram Crack Cocaine (1.0g)","฿0.0209","http://drugstom3mhpiaud.onion/l/login.php"
"5x Ice Speed Pills","฿0.0209","http://drugstom3mhpiaud.onion/l/login.php"
"1x Ice Speed Pill","฿0.0063","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- Half Ounce (14.0g)","฿0.0447","http://drugstom3mhpiaud.onion/l/login.php"
"Concerta (Methylphenidate) 54mg","฿0.0098","http://drugstom3mhpiaud.onion/l/login.php"
"2xFULL GRAMS COCAINE","฿0.0293","http://drugstom3mhpiaud.onion/l/login.php"
"1x Vial HASH OIL (0.7g)","฿0.0070","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- 3.5 Grams (3.5g)","฿0.0154","http://drugstom3mhpiaud.onion/l/login.php"
"MDMA Crystals 84%+ UNCUT- Full Ounce (28.0g)","฿0.0810","http://drugstom3mhpiaud.onion/l/login.php"
"2x Ice Speed Pills","฿0.0080","http://drugstom3mhpiaud.onion/l/login.php"
"Concerta (Methylphenidate) 18mg","฿0.0063","http://drugstom3mhpiaud.onion/l/login.php"
"2X Vials HASH OIL","฿0.0091","http://drugstom3mhpiaud.onion/l/login.php"
"Methaqualone Powder (Quaaludes) 1 Gram","฿0.0105","http://drugstom3mhpiaud.onion/l/login.php"
"QUARTER OZ COCAINE (7.0g)","฿0.0740","http://drugstom3mhpiaud.onion/l/login.php"
"7g Organic White Russian","70 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"14g Organic White Russian","120 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"50g Organic Chronic","295 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"14g Organic Chronic","120 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"50g Organic White Russian","295 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"3.5g Organic Chronic","42 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"7g Organic Chronic","70 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"3.5g Organic White Russian","42 EUR","http://4mfvsw6egw7ayj26.onioncart.php"
"100g Marocc Hash","350 EUR = 0.05269 ฿","http://kbvbh4kdddiha2ht.onioncart.php"
"500g Marocc Hash","1500 EUR = 0.22581 ฿","http://kbvbh4kdddiha2ht.onioncart.php"
"50g Marocc Hash","200 EUR = 0.03011 ฿","http://kbvbh4kdddiha2ht.onioncart.php"
"Cocaine HQ | Deluxe Edition","
$109 – $189

 
","http://6qdvcew6jhxifqge.onion/product/cocaine-hq-deluxe-edition/"
"TOP CUBE | MDMA Pills 250mg | Deluxe Edition","
$29 – $109

 
","http://6qdvcew6jhxifqge.onion/product/top-cube-mdma-pills-250mg-deluxe-edition/"
"Cocaine VHQ | Deluxe Edition","
$141 – $249

 
","http://6qdvcew6jhxifqge.onion/product/cocaine-vhq-deluxe-edition/"
"Cocaine HQ 90-95%","
$139 – $263

 
","http://6qdvcew6jhxifqge.onion/product/cocaine-hq-90-95/"
"TOP CUBE Ecstasy – MotormasteR","
$119 – $3,399

 
","http://6qdvcew6jhxifqge.onion/product/top-cube-ecstasy-motormaster/"
"MDMA | Deluxe Edition","
$59 – $199

 
","http://6qdvcew6jhxifqge.onion/product/mdma-deluxe-edition/"
"Blue Bitcoin | MDMA Pills 250mg | Deluxe Edition","
$31 – $115

 
","http://6qdvcew6jhxifqge.onion/product/blue-bitcoin-mdma-pills-250mg-deluxe-edition/"
"Cocaine VHQ 95-98%","
$155 – $287

 
","http://6qdvcew6jhxifqge.onion/product/cocaine-vhq-95-98/"
"Buds “AK-47 HQ ” SHOCKWAVE","
$41 – $523

 
","http://6qdvcew6jhxifqge.onion/product/buds-ak-47-hq-shockwave/"
"100x Blue Tesla XTC pills 180mg mdma !!! NEW !!!","USD 99.99","http://6mduol2doz6vlcsn.onion/login"
"x5 of 0.3ml THC Oil Vape Cartridge + 280 mAh Pen","USD 95.99","http://6mduol2doz6vlcsn.onion/login"
"UNCUT 94% 7G OF PERUVIAN CREAM COCAINE","USD 245.00","http://6mduol2doz6vlcsn.onionlogin"
"Xanax [Alprazolam] 100x (1MG) Pills (Footballs)","USD 220.00","http://6mduol2doz6vlcsn.onion/login"
"UNCUT 94% 7G OF PERUVIAN CREAM COCAINE","USD 245.00","http://6mduol2doz6vlcsn.onion/login"
"Clean Paypal Transfer 500$ Guarantee!","USD 70.00","http://6mduol2doz6vlcsn.onion/login"
"x5 of 0.3ml THC Oil Vape Cartridge + 280 mAh Pen","USD 95.99","http://6mduol2doz6vlcsn.onionlogin"
"Xanax [Alprazolam] 100x (1MG) Pills (Footballs)","USD 220.00","http://6mduol2doz6vlcsn.onionlogin"
"Clean Paypal Transfer 500$ Guarantee!","USD 70.00","http://6mduol2doz6vlcsn.onionlogin"
"100x Blue Tesla XTC pills 180mg mdma !!! NEW !!!","USD 99.99","http://6mduol2doz6vlcsn.onionlogin"
"PayPal Transfers","Transfer: $600","http://4b4i3gx3cellpnlf.onion/#visa/order?type=paypal&id=1"
"Prepaid Cards VISA","$110","http://4b4i3gx3cellpnlf.onion"
"Western Union Transfers","Transfer: $1000","http://4b4i3gx3cellpnlf.onion/"
"Western Union Transfers","Transfer: $1000","http://4b4i3gx3cellpnlf.onion"
"Prepaid Cards VISA","$110","http://4b4i3gx3cellpnlf.onion/"
"Western Union Transfers","Transfer: $1000","http://4b4i3gx3cellpnlf.onion/#visa"
"Prepaid Cards MasterCard","$120","http://4b4i3gx3cellpnlf.onion/#visa"
"Prepaid Cards VISA","$110","http://4b4i3gx3cellpnlf.onion/#visa"
"PayPal Transfers","Transfer: $600","http://4b4i3gx3cellpnlf.onion/order?type=paypal&id=1"
"and Money Transfers via PayPal","Transfer: $600","http://4b4i3gx3cellpnlf.onion/#visa/"
"PayPal Transfers","Transfer: $600","http://4b4i3gx3cellpnlf.onion//order?type=paypal&id=1"
"and Money Transfers via PayPal","Transfer: $600","http://4b4i3gx3cellpnlf.onion//"
"Prepaid Cards MasterCard","$120","http://4b4i3gx3cellpnlf.onion/"
"Prepaid Cards MasterCard","$120","http://4b4i3gx3cellpnlf.onion"
"and Money Transfers via PayPal","Transfer: $600","http://4b4i3gx3cellpnlf.onion/"
"Prepaid Cards MasterCard","$120","http://hzb373v62bihyvwn.onion"
"PayPal Transfers","Transfer: $600","http://hzb373v62bihyvwn.onion/order?type=paypal&id=1"
"Prepaid Cards VISA","$110","http://hzb373v62bihyvwn.onion/"
"Western Union Transfers","Transfer: $1000","http://hzb373v62bihyvwn.onion/"
"Prepaid Cards MasterCard","$120","http://hzb373v62bihyvwn.onion/"
"PayPal Transfers","Transfer: $600","http://hzb373v62bihyvwn.onion//order?type=paypal&id=1"
"and Money Transfers via PayPal","Transfer: $600","http://hzb373v62bihyvwn.onion//"
"Western Union Transfers","Transfer: $1000","http://hzb373v62bihyvwn.onion"
"and Money Transfers via PayPal","Transfer: $600","http://hzb373v62bihyvwn.onion/"
"Prepaid Cards VISA","$110","http://hzb373v62bihyvwn.onion"
"and Money Transfers via PayPal","Transfer: $600","http://x2czwnoe4nw2qigk.onion/"
"PayPal Transfers","Transfer: $600","http://x2czwnoe4nw2qigk.onion//order?type=paypal&id=1"
"Western Union Transfers","Transfer: $1000","http://x2czwnoe4nw2qigk.onion"
"Prepaid Cards MasterCard","$120","http://x2czwnoe4nw2qigk.onion/"
"Prepaid Cards VISA","$110","http://x2czwnoe4nw2qigk.onion"
"and Money Transfers via PayPal","Transfer: $600","http://x2czwnoe4nw2qigk.onion//"
"Prepaid Cards MasterCard","$120","http://x2czwnoe4nw2qigk.onion"
"Prepaid Cards VISA","$110","http://x2czwnoe4nw2qigk.onion/"
"Western Union Transfers","Transfer: $1000","http://x2czwnoe4nw2qigk.onion/"
"PayPal Transfers","Transfer: $600","http://x2czwnoe4nw2qigk.onion/order?type=paypal&id=1"
"Afghan Kush – Cannabis 50g","$90.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/afghan-kush-cannabis-50g/"
"Potassium Cyanide, 1 g","$9.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/potassium-cyanide-1-g/"
"x10 LSD (Acid) Tabs 250ug","$39.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/x10-lsd-acid-tabs-250ug/"
"5 Gram Crystal Meth HQ CRYSTAL","$49.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/5-gram-crystal-meth-hq-crystal/"
"Alaskan Thunder Fuck- Cannabis 50g","$199.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/alaskan-thunder-fuck-cannabis-50g/"
"Double Gum X20 – Seeds Cannabis","$14.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/double-gum-x20-seeds-cannabis/"
"High Grade Cocaine 91% Pure 1g","$29.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/high-grade-cocaine-91-pure-1g/"
"Pure Love – Cannabis 20g","$39.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/pure-love-cannabis-20g/"
"5 Gram CRYSTAL METHS PURE","$59.00","http://4wmicvgfju43ejudk2km3a7jhkwyewtgwwxbttcquca4fm3tilmtocyd.onion/product/5-gram-crystal-meths-pure/"
"and Money Transfers via PayPal","Transfer: $600","http://nsieqtz7brfv7uv7.onion//"
"Prepaid Cards MasterCard","$120","http://nsieqtz7brfv7uv7.onion/"
"Prepaid Cards VISA","$110","http://nsieqtz7brfv7uv7.onion/"
"Prepaid Cards MasterCard","$120","http://nsieqtz7brfv7uv7.onion/#visa"
"Western Union Transfers","Transfer: $1000","http://nsieqtz7brfv7uv7.onion/"
"Western Union Transfers","Transfer: $1000","http://nsieqtz7brfv7uv7.onion/#visa/"
"Prepaid Cards MasterCard","$120","http://nsieqtz7brfv7uv7.onion/#visa/"
"and Money Transfers via PayPal","Transfer: $600","http://nsieqtz7brfv7uv7.onion/#visa//"
"Western Union Transfers","Transfer: $1000","http://nsieqtz7brfv7uv7.onion/#visa"
"Prepaid Cards MasterCard","$120","http://nsieqtz7brfv7uv7.onion"
"Western Union Transfers","Transfer: $1000","http://nsieqtz7brfv7uv7.onion"
"PayPal Transfers","Transfer: $600","http://nsieqtz7brfv7uv7.onion/#visa/order?type=paypal&id=1"
"Prepaid Cards VISA","$110","http://nsieqtz7brfv7uv7.onion/#visa/"
"and Money Transfers via PayPal","Transfer: $600","http://nsieqtz7brfv7uv7.onion/#visa/"
"Prepaid Cards VISA","$110","http://nsieqtz7brfv7uv7.onion/#visa"
"PayPal Transfers","Transfer: $600","http://nsieqtz7brfv7uv7.onion/order?type=paypal&id=1"
"PayPal Transfers","Transfer: $600","http://nsieqtz7brfv7uv7.onion//order?type=paypal&id=1"
"and Money Transfers via PayPal","Transfer: $600","http://nsieqtz7brfv7uv7.onion/"
"PayPal Transfers","Transfer: $600","http://nsieqtz7brfv7uv7.onion/#visa//order?type=paypal&id=1"
"Prepaid Cards VISA","$110","http://nsieqtz7brfv7uv7.onion"
"1 Container of 10 x 20 mg Cialis pills || Generic ...","Price: 12.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/7ca187c0-d6b7-412a-ae4c-55e573ea22d6"
"100 XTC Pills || Dutch Quality MDMA XTC Pill || 16...","Price: 200.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/4f2a0475-29b0-4d21-9f60-2cdc0eef4ee3"
"100 Dutch Quality LSD Blotters || LSD-25 || 100-15...","Price: 350.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/f657b8e1-97fe-4503-bb61-ce158c283f01"
"5 Dutch Quality LSD Blotters || LSD-25 || 100-150 ...","Price: 25.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/d40e16b1-cd20-4ce7-bc38-323fc996c69c"
"10 XTC Pills || Dutch Quality MDMA XTC Pill || 160...","Price: 25.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/eab64c54-6431-4a08-9280-5bbfa2489ca9"
"10 ML. Cannabis Oil 1/3 || THC/CBD rich || 50/50% ...","Price: 250.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/2095e80c-3129-4332-8391-17942dd1bb02"
"10 Gram MDMA || Dutch Quality MDMA Crystal || PMK ...","Price: 70.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/cc7556be-bb0b-419d-ab0c-5df52bce1d5f"
"25 Dutch Quality LSD Blotters || LSD-25 || 100-150...","Price: 100.00 EUR","http://dutchd2ss3w4efqnm577wb5j35wjmanwxa7qugfd5rz2g35fqn3i76id.onion/listing/49741abc-1937-400b-8d2f-d845a6c80ada"
"Prepaid Cards VISA","$110","http://sj6b53hsdmwxjgts.onion/#visa"
"and Money Transfers via PayPal","Transfer: $600","http://sj6b53hsdmwxjgts.onion//"
"and Money Transfers via PayPal","Transfer: $600","http://sj6b53hsdmwxjgts.onion/"
"Prepaid Cards MasterCard","$120","http://sj6b53hsdmwxjgts.onion"
"Western Union Transfers","Transfer: $1000","http://sj6b53hsdmwxjgts.onion/#visa"
"PayPal Transfers","Transfer: $600","http://sj6b53hsdmwxjgts.onion//order?type=paypal&id=1"
"PayPal Transfers","Transfer: $600","http://sj6b53hsdmwxjgts.onion/#visa/order?type=paypal&id=1"
"Prepaid Cards MasterCard","$120","http://sj6b53hsdmwxjgts.onion/"
"Western Union Transfers","Transfer: $1000","http://sj6b53hsdmwxjgts.onion/"
"and Money Transfers via PayPal","Transfer: $600","http://sj6b53hsdmwxjgts.onion/#visa/"
"Prepaid Cards VISA","$110","http://sj6b53hsdmwxjgts.onion/"
"Western Union Transfers","Transfer: $1000","http://sj6b53hsdmwxjgts.onion"
"Prepaid Cards VISA","$110","http://sj6b53hsdmwxjgts.onion"
"Prepaid Cards MasterCard","$120","http://sj6b53hsdmwxjgts.onion/#visa"
"PayPal Transfers","Transfer: $600","http://sj6b53hsdmwxjgts.onion/order?type=paypal&id=1"
"5 x Visa Prepaid 3100$","$510.00","http://nu5grt6sxtkep757.onion/?product=5-x-visa-prepaid-3100"
"To make a document, we need personal information about you + your real photo.","$1,799.00","http://nu5grt6sxtkep757.onion/?product=undetectable-fake-passports"
"Amazon Gift Card – $600","$120.00","http://nu5grt6sxtkep757.onion/?product=amazon-gift-card-600"
"Steam Gift Card – $250","$125.00","http://nu5grt6sxtkep757.onion/?product=steam-gift-card-250"
"PayPal Transfer 600$","$90.00","http://nu5grt6sxtkep757.onion/?product=paypal-transfer-600"
"Visa Prepaid 2700€","$105.00","http://nu5grt6sxtkep757.onion/?product=visa-prepaid-2700e"
"Prepaid Cards VISA","$110","http://inrjqbqf43ndz7dl.onion"
"and Money Transfers via PayPal","Transfer: $600","http://inrjqbqf43ndz7dl.onion//"
"PayPal Transfers","Transfer: $600","http://inrjqbqf43ndz7dl.onion/#visa/order?type=paypal&id=1"
"and Money Transfers via PayPal","Transfer: $600","http://inrjqbqf43ndz7dl.onion/"
"PayPal Transfers","Transfer: $600","http://inrjqbqf43ndz7dl.onion//order?type=paypal&id=1"
"Prepaid Cards MasterCard","$120","http://inrjqbqf43ndz7dl.onion/#visa"
"The scent, out of the container, is fruity like a batch of sour blueberries. The smoke and taste is slightly different; blueberry on the inhale, with a noticeable musky undertone typical of the original cheese strain on the exhale.
Blue Cheese seems to remove stress and anxiety as well as makes it easier to enjoy whatever it is that you are doing. Although the effects are euphoric and spacey, it does take a good amount of time (5-10 minutes) to set in at maximum strength.
It’s definitely not the most potent strain we have tested by any means… but it produces smooth smoke with a blueberry and cheese taste that is unique & memorable.","$250.00","http://nu5grt6sxtkep757.onion/?product=blueberry-25g"
"100 x Ammunition calibre 9mm","$99.00","http://nu5grt6sxtkep757.onion/?product=100-x-ammunition-calibre-9mm"
"50 x Ammunition calibre 22lr","$55.00","http://nu5grt6sxtkep757.onion/?product=50-x-ammunition-calibre-22lr"
"MasterCard Prepaid 2700€","$105.00","http://nu5grt6sxtkep757.onion/?product=mastercard-prepaid-2700e"
